Team,Rating
INV,0.9445157631455992
DUF,0.944846238229904
FUL,0.9460950339383614
FIO,0.9466040569311536
WII,0.9470276863640084
ACA,0.9476948843580122
UDI,0.9477517598315208
CAG,0.9484900173350896
SEV,0.9507289386614975
ROM,0.9514546877980863
ACM,0.9519285910559203
ESP,0.9522626852519086
YB,0.9522763499356671
SLA,0.9525670186996791
REN,0.9526845321465663
PSG,0.9531826870940521
MUN,0.9535059848528423
GRA,0.9539022647198986
LEV,0.9540870454485051
GLA,0.9543018499274674
TOU,0.9549993514888963
FCK,0.9553042162991735
FER,0.9553132838922638
OSA,0.9553151420622968
GEN,0.9555147078786775
HEA,0.9556020393496713
S04,0.9556322490602455
BEL,0.9557445740263198
CHI,0.9558864410921138
AVL,0.9563163349851661
THU,0.9563629124088938
NAC,0.9564183055152109
RA,0.9564748614128371
VIT,0.957439933010582
VIL,0.9577752011863436
BIL,0.9578264810142249
MAI,0.9579130106424094
BMU,0.9588675739518953
NUR,0.9606356925122317
SOC,0.961121743100794
ZAG,0.9618057415221634
MAL,0.9629289101138768
JUV,0.9641701598397326
FRE,0.9647809019682652
SET,0.9657367633448249
PIG,0.9658334096574959
LUZ,0.9659692189657508
STK,0.9660070854786349
SCP,0.966007735108476
UTR,0.9662443910180338
CAT,0.9662646620631163
HAA,0.9666173968962279
STU,0.9666392219698684
POD,0.9671243565499807
ARS,0.9679950585579455
HBE,0.9682932624751108
ATA,0.9686115365824246
LAZ,0.9690159220935373
BEN,0.9695168873754662
SIO,0.9697846534603406
ZUR,0.9705836331438416
GRO,0.9709853351601283
CHO,0.9719064398493732
HOF,0.972096774568771
PSV,0.9721759755431106
TWE,0.9728367063527086
LEG,0.974629840084106
BIA,0.9769016130639001
EFR,0.9769647116409645
CKR,0.9819373007484644
MAR,0.9849586182483185
GOR,0.9853082169123717
HAN,0.985905354056452
HAM,0.9863411279307894
POZ,0.9900241805596413
WIS,0.990497547316448
WBR,0.992127439959304
KKI,0.9950350854756449
HIB,0.9984809171468035
LGD,1.0
